ds,y
2021-10-10,1079.8
2021-10-11,506.5
2021-10-12,393.0
2021-10-13,469.7
2021-10-14,516.7
2021-10-15,484.3
2021-10-16,709.3
2021-10-17,1008.8
2021-10-18,415.1
2021-10-19,566.2
2021-10-20,525.9
2021-10-21,618.75
2021-10-22,622.75
2021-10-23,849.6999999999999
2021-10-24,1245.95
2021-10-25,662.95
2021-10-26,795.0
2021-10-27,798.6
2021-10-28,725.0
2021-10-29,913.35
2021-10-30,1134.8
2021-10-31,1492.5
2021-11-01,1372.3
2021-11-02,857.25
2021-11-03,780.55
2021-11-04,751.3
2021-11-05,819.5
2021-11-06,831.55
2021-11-07,761.6
2021-11-08,594.85
2021-11-09,631.65
2021-11-10,574.5
2021-11-11,728.65
2021-11-12,559.85
2021-11-13,654.9
2021-11-14,863.55
2021-11-15,452.3
2021-11-16,439.75
2021-11-18,452.25
2021-11-19,526.85
2021-11-20,591.6
2021-11-21,720.35
2021-11-22,453.65
2021-11-23,457.65
2021-11-25,467.8
2021-11-26,434.8
2021-11-27,532.0
2021-11-28,798.8
2021-11-29,404.7
2021-11-30,529.05
2021-12-02,417.55
2021-12-03,451.45
2021-12-04,478.45
2021-12-05,783.4
2021-12-09,376.2
2021-12-10,458.8
2021-12-11,583.95
2021-12-12,775.6999999999999
2021-12-13,488.25
2021-12-14,469.85
2021-12-16,500.1
2021-12-17,568.5
2021-12-18,647.9
2021-12-19,819.9
2021-12-20,603.65
2021-12-21,655.5
2021-12-22,578.8
2021-12-23,770.55
2021-12-24,1824.4
2021-12-25,992.4
2021-12-26,1115.0
2021-12-27,751.55
2021-12-28,792.4
2021-12-29,704.75
2021-12-30,820.85
2021-12-31,1621.3
2022-01-02,1652.95
2022-01-03,715.5
2022-01-04,127.64999999999999
2022-01-06,584.35
2022-01-07,526.1
2022-01-08,637.95
2022-01-09,877.05
2022-01-10,458.0
2022-01-11,473.25
2022-01-13,406.95
2022-01-14,568.8
2022-01-15,564.65
2022-01-16,827.55
2022-01-17,548.75
2022-01-18,452.65
2022-01-20,514.3
2022-01-21,520.8
2022-01-22,553.95
2022-01-23,874.4
2022-01-24,477.8
2022-01-25,505.5
2022-01-27,619.85
2022-01-28,487.55
2022-01-29,539.3
2022-01-30,747.55
2022-01-31,422.55
2022-02-01,403.85
2022-02-03,480.65
2022-02-04,498.75
2022-02-05,572.35
2022-02-06,804.6
2022-02-07,547.95
2022-02-08,585.8
2022-02-10,519.05
2022-02-11,605.5
2022-02-12,701.2
2022-02-13,981.8
2022-02-14,649.85
2022-02-15,849.35
2022-02-17,765.25
2022-02-18,828.05
2022-02-19,913.55
2022-02-20,1194.35
2022-02-21,593.45
2022-02-22,621.3
2022-02-24,729.45
2022-02-25,839.0
2022-02-26,930.75
2022-02-27,1376.1
2022-02-28,635.55
2022-03-01,809.5
2022-03-02,595.65
2022-03-03,610.53
2022-03-04,692.5
2022-03-05,904.8
2022-03-06,1197.73
2022-03-07,700.1
2022-03-08,603.55
2022-03-09,427.65
2022-03-10,417.2
2022-03-11,460.7
2022-03-12,510.55
2022-03-13,947.55
2022-03-14,572.5
2022-03-15,476.2
2022-03-16,389.7
2022-03-17,503.35
2022-03-18,471.15
2022-03-19,632.1
2022-03-20,1006.75
2022-03-21,598.85
2022-03-22,581.85
2022-03-23,502.95
2022-03-24,463.0
2022-03-25,573.25
2022-03-26,825.9
2022-03-27,979.05
2022-03-28,570.7
2022-03-29,554.45
2022-03-30,362.5
2022-03-31,404.35
2022-04-01,625.9
2022-04-02,614.65
2022-04-03,789.4
2022-04-04,533.05
2022-04-05,644.05
2022-04-06,475.25
2022-04-07,617.7
2022-04-08,467.6
2022-04-09,650.95
2022-04-10,961.4
2022-04-11,735.1
2022-04-12,618.1
2022-04-13,568.95
2022-04-14,612.25
2022-04-15,785.35
2022-04-16,1580.75
2022-04-17,1399.05
2022-04-18,1679.85
2022-04-19,902.75
2022-04-20,738.15
2022-04-21,1067.95
2022-04-22,920.65
2022-04-23,768.0
2022-04-24,1143.3
2022-04-25,682.45
2022-04-26,635.15
2022-04-27,807.35
2022-04-28,649.3
2022-04-29,729.35
2022-04-30,1268.2
2022-05-01,1722.55
2022-05-02,926.2
2022-05-03,696.8
2022-05-05,761.9
2022-05-06,882.0
2022-05-07,858.05
2022-05-08,1230.95
2022-05-09,704.85
2022-05-10,637.05
2022-05-11,505.1
2022-05-12,675.7
2022-05-13,745.25
2022-05-14,860.2
2022-05-15,1228.8
2022-05-16,695.6
2022-05-17,603.85
2022-05-18,617.3
2022-05-19,614.95
2022-05-20,681.35
2022-05-21,779.35
2022-05-22,1161.7
2022-05-23,642.0
2022-05-24,657.5
2022-05-25,835.85
2022-05-26,1753.25
2022-05-27,1916.8
2022-05-28,1965.35
2022-05-29,2392.6
2022-05-30,850.45
2022-05-31,682.8
2022-06-01,638.05
2022-06-02,594.9
2022-06-03,734.9
2022-06-04,1106.35
2022-06-05,1756.1
2022-06-06,1682.25
2022-06-07,630.2
2022-06-08,579.35
2022-06-09,602.3
2022-06-10,709.0
2022-06-11,1027.7
2022-06-12,1168.3
2022-06-13,710.8
2022-06-14,703.25
2022-06-15,620.6
2022-06-16,606.85
2022-06-17,640.3
2022-06-18,1027.05
2022-06-19,1523.0
2022-06-20,690.8
2022-06-21,616.8
2022-06-22,517.5
2022-06-23,614.3
2022-06-24,801.9
2022-06-25,964.45
2022-06-26,1263.2
2022-06-27,770.25
2022-06-28,607.1
2022-06-29,609.15
2022-06-30,769.6
2022-07-01,836.05
2022-07-02,955.85
2022-07-03,1746.05
2022-07-04,875.65
2022-07-05,862.2
2022-07-06,753.25
2022-07-07,960.95
2022-07-08,952.2
2022-07-09,1355.65
2022-07-10,1948.75
2022-07-11,1308.05
2022-07-12,1182.65
2022-07-13,1368.85
2022-07-14,2098.65
2022-07-15,1904.55
2022-07-16,2334.0
2022-07-17,2656.95
2022-07-18,1584.95
2022-07-19,1286.9
2022-07-20,1323.9
2022-07-21,1332.1000000000001
2022-07-22,1374.6
2022-07-23,1967.92
2022-07-24,2205.4
2022-07-25,1584.8500000000001
2022-07-26,1408.05
2022-07-27,1312.9
2022-07-28,1481.65
2022-07-29,1306.15
2022-07-30,1840.0
2022-07-31,2486.55
2022-08-01,1796.2
2022-08-02,1694.4
2022-08-03,1475.1000000000001
2022-08-04,1680.65
2022-08-05,1728.85
2022-08-06,1964.7
2022-08-07,2487.9
2022-08-08,2192.35
2022-08-09,1695.2
2022-08-10,1801.05
2022-08-11,1945.95
2022-08-12,1960.8500000000001
2022-08-13,2133.05
2022-08-14,3184.1
2022-08-15,2348.7
2022-08-16,1733.2
2022-08-17,1605.3500000000001
2022-08-18,1830.05
2022-08-19,1440.15
2022-08-20,2153.6
2022-08-21,2571.0
2022-08-22,1656.0
2022-08-23,1356.15
2022-08-24,1350.95
2022-08-25,1195.85
2022-08-26,1023.0500000000001
2022-08-27,1261.05
2022-08-28,1946.05
2022-08-29,937.4
2022-08-30,1030.65
2022-08-31,678.1
2022-09-02,703.25
2022-09-03,935.1
2022-09-04,1162.2
2022-09-05,865.0
2022-09-06,608.5
2022-09-07,599.05
2022-09-08,611.45
2022-09-09,740.5500000000001
2022-09-10,890.95
2022-09-11,1413.3
2022-09-12,693.95
2022-09-13,512.45
2022-09-14,588.8
2022-09-15,624.95
2022-09-16,696.35
2022-09-17,1024.6
2022-09-18,1199.7
2022-09-20,619.15
2022-09-21,549.05
2022-09-22,593.85
2022-09-23,654.95
2022-09-24,846.45
2022-09-25,1152.85
2022-09-26,693.75
2022-09-27,746.45
2022-09-28,610.7
2022-09-29,689.2
2022-09-30,795.95
